Kind,Name,AvgCyclomatic,SumCyclomatic,MaxEssential,MaxNesting
Public Constructor,"migration.M014_AddingStudentClassAttributes.M014_AddingStudentClassAttributes",,1,,0
Public Method,"migration.M014_AddingStudentClassAttributes.up",,1,,0
Public Class,"migration.M015_UpdatingIdClassColumnToClass",1,2,1,0
Public Constructor,"migration.M015_UpdatingIdClassColumnToClass.M015_UpdatingIdClassColumnToClass",,1,,0
Public Method,"migration.M015_UpdatingIdClassColumnToClass.up",,1,,0
Public Abstract Class,"migration.Migration",1,6,1,1
Private Method,"migration.Migration.createMigrationTable",,1,,0
Protected Method,"migration.Migration.run",,2,,1
Protected Method,"migration.Migration.setQuery",,1,,0
Protected Method,"migration.Migration.setVersion",,1,,0
Private Method,"migration.Migration.updateMigrationVersion",,1,,0
Public Class,"migration.RunMigration",2,2,1,1
Public Static Method,"migration.RunMigration.main",,2,,1
Package,"model",1,251,3,2
Public Class,"model.Authentication",1,7,1,2
Public Constructor,"model.Authentication.Authentication",,1,,0
Public Constructor,"model.Authentication.Authentication",,1,,0
Public Method,"model.Authentication.getPassword",,1,,0
Private Method,"model.Authentication.setPassword",,4,,2
Public Class,"model.Class",1,36,3,2
Public Constructor,"model.Class.Class",,1,,0
Public Constructor,"model.Class.Class",,1,,0
Public Constructor,"model.Class.Class",,1,,0
Public Constructor,"model.Class.Class",,1,,0
Public Constructor,"model.Class.Class",,1,,0
Private Method,"model.Class.generateClassID",,1,,0
Private Method,"model.Class.generateEndDate",,2,,1
Public Method,"model.Class.getClassDuration",,1,,0
Public Method,"model.Class.getClassId",,1,,0
Public Method,"model.Class.getCourse",,1,,0
Private Method,"model.Class.getCourseFirstName",,3,,2
Public Method,"model.Class.getEndDate",,1,,0
Public Method,"model.Class.getShift",,1,,0
Public Method,"model.Class.getStartDate",,1,,0
Public Method,"model.Class.getStatus",,1,,0
Public Method,"model.Class.getStudents",,1,,0
Public Method,"model.Class.getTeacher",,1,,0
Private Method,"model.Class.setClassId",,1,,0
Private Method,"model.Class.setCourse",,2,,1
Private Method,"model.Class.setEndDate",,2,,1
Private Method,"model.Class.setShift",,5,,2
Private Method,"model.Class.setStartDate",,2,,1
Private Method,"model.Class.setStatus",,2,,1
Private Method,"model.Class.setTeacher",,2,,1
Public Class,"model.Course",1,14,1,1
Public Constructor,"model.Course.Course",,2,,1
Public Constructor,"model.Course.Course",,1,,0
Public Constructor,"model.Course.Course",,2,,1
Public Constructor,"model.Course.Course",,2,,1
Public Constructor,"model.Course.Course",,2,,1
Public Constructor,"model.Course.Course",,2,,1
Public Method,"model.Course.getCourseDescription",,1,,0
Private Method,"model.Course.setCourseDescription",,2,,1
Public Abstract Class,"model.Model",2,11,1,2
Protected Method,"model.Model.containsOnlyLetters",,3,,2
Protected Method,"model.Model.containsOnlyLettersAndSpaces",,3,,2
Protected Method,"model.Model.containsOnlyNumbers",,3,,2
Protected Method,"model.Model.isNotEmpty",,2,,1
Public Class,"model.Package",1,19,1,2
Public Constructor,"model.Package.Package",,1,,0
Public Constructor,"model.Package.Package",,2,,1
Public Constructor,"model.Package.Package",,2,,1
Public Constructor,"model.Package.Package",,2,,1
Public Constructor,"model.Package.Package",,2,,1
Public Method,"model.Package.addServiceItem",,3,,2
Private Method,"model.Package.calculateDuration",,2,,1
Public Method,"model.Package.getCourses",,2,,1
Public Method,"model.Package.getServiceItens",,1,,0
Private Method,"model.Package.setDuration",,1,,0
Private Method,"model.Package.setServiceItens",,1,,0
Public Class,"model.Payment",1,19,1,2
Public Constructor,"model.Payment.Payment",,1,,0
Public Constructor,"model.Payment.Payment",,1,,0
Public Constructor,"model.Payment.Payment",,1,,0
Public Constructor,"model.Payment.Payment",,1,,0
Public Constructor,"model.Payment.Payment",,1,,0
Public Method,"model.Payment.getDescription",,1,,0
Public Method,"model.Payment.getInstallments",,1,,0
Public Method,"model.Payment.getPaymentId",,1,,0
Public Method,"model.Payment.getService",,1,,0
Public Method,"model.Payment.getValue",,1,,0
Private Method,"model.Payment.setDescription",,1,,0
Private Method,"model.Payment.setInstallments",,3,,2
Private Method,"model.Payment.setPaymentId",,2,,1
Private Method,"model.Payment.setService",,2,,1
Private Method,"model.Payment.setValue",,1,,0
Public Class,"model.PaymentDescription",2,22,1,2
Public Constructor,"model.PaymentDescription.PaymentDescription",,1,,0
Public Method,"model.PaymentDescription.getDescription",,1,,0
Public Method,"model.PaymentDescription.getPaymentDescriptionId",,1,,0
Public Method,"model.PaymentDescription.getPaymentForm",,1,,0
Public Method,"model.PaymentDescription.getPaymentType",,1,,0
Private Method,"model.PaymentDescription.setPaymentDescription",,9,,2
Private Method,"model.PaymentDescription.setPaymentDescriptionId",,1,,0
Private Method,"model.PaymentDescription.setPaymentForm",,4,,1
Private Method,"model.PaymentDescription.setPaymentType",,3,,1
Public Class,"model.Person",1,34,1,2
Public Method,"model.Person.getAddress",,1,,0
Public Method,"model.Person.getBirthdate",,1,,0
Public Method,"model.Person.getCpf",,1,,0
Public Method,"model.Person.getEmail",,1,,0
Public Method,"model.Person.getFatherName",,1,,0
Public Method,"model.Person.getMotherName",,1,,0
Public Method,"model.Person.getName",,1,,0
Public Method,"model.Person.getPrincipalPhone",,1,,0
Public Method,"model.Person.getRg",,1,,0
Public Method,"model.Person.getSecondaryPhone",,1,,0
Public Method,"model.Person.getStatus",,1,,0
Protected Method,"model.Person.setAddress",,2,,1
Protected Method,"model.Person.setBirthdate",,2,,1
Protected Method,"model.Person.setCpf",,2,,1
Protected Method,"model.Person.setEmail",,3,,2
Protected Method,"model.Person.setFatherName",,3,,2
Protected Method,"model.Person.setMotherName",,2,,1
Protected Method,"model.Person.setName",,2,,1
Protected Method,"model.Person.setPrincipalPhone",,2,,1
Protected Method,"model.Person.setRg",,2,,1
Protected Method,"model.Person.setSecondaryPhone",,1,,0
Protected Method,"model.Person.setStatus",,2,,1
Public Class,"model.Service",1,33,1,2
Public Constructor,"model.Service.Service",,1,,0
Public Constructor,"model.Service.Service",,1,,0
Public Constructor,"model.Service.Service",,2,,1
Public Constructor,"model.Service.Service",,1,,0
Public Method,"model.Service.addItem",,2,,1
Public Method,"model.Service.addPayment",,2,,1
